2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 22 6 | 5 0 24 | 23 7 28
2111: 400 1737 49 | 1785 25 376 | 1 424 1761
2113: 729 1410 49 | 1458 25 705 | 1 753 1434
2129: 1024 1131 49 | 1179 25 1000 | 1 1048 1155
2131: 2116 41 49 | 89 25 2092 | 1 9 65
2137: 441 1722 49 | 1770 25 417 | 1 465 1746
2141: 729 1438 49 | 1486 25 705 | 1 753 1462
2143: 1339 830 49 | 878 25 1315 | 1 1363 854
2153: 289 1890 49 | 1938 25 265 | 1 313 1914
2161: 961 1226 49 | 1274 25 937 | 1 985 1250
2179: 1156 1049 49 | 1097 25 1132 | 1 1180 1073
2203: 4 22 49 | 70 25 2183 | 1 28 46
2207: 103 2130 49 | 2178 25 79 | 1 127 2154
2213: 1552 687 49 | 735 25 1528 | 1 1576 711
2221: 380 1867 49 | 1915 25 356 | 1 404 1891
2237: 729 1534 49 | 1582 25 705 | 1 753 1558
2239: 2209 56 49 | 104 25 2185 | 1 2233 80
2243: 1844 425 49 | 473 25 1820 | 1 1868 449
2251: 225 2052 49 | 2100 25 201 | 1 249 2076
2267: 4 22 49 | 70 25 2247 | 1 28 46
2269: 2218 77 49 | 125 25 2194 | 1 2242 101
2273: 169 2130 49 | 2178 25 145 | 1 193 2154
2281: 1089 1218 49 | 1266 25 1065 | 1 1113 1242
2287: 289 2024 49 | 2072 25 265 | 1 313 2048
2293: 256 2063 49 | 2111 25 232 | 1 280 2087
2297: 203 2120 49 | 2168 25 179 | 1 227 2144
2309: 478 1857 49 | 1905 25 454 | 1 502 1881
2311: 1781 556 49 | 604 25 1757 | 1 1805 580
2333: 1369 990 49 | 1038 25 1345 | 1 1393 1014
2339: 1382 983 49 | 1031 25 1358 | 1 1406 1007
2341: 1681 686 49 | 734 25 1657 | 1 1705 710
2347: 1390 983 49 | 1031 25 1366 | 1 1414 1007
2351: 196 2181 49 | 2229 25 172 | 1 220 2205
2357: 484 1899 49 | 1947 25 460 | 1 508 1923
2371: 400 1997 49 | 2045 25 376 | 1 424 2021
2377: 784 1619 49 | 1667 25 760 | 1 808 1643
2381: 20 6 49 | 54 25 2377 | 1 44 30
2383: 289 2120 49 | 2168 25 265 | 1 313 2144
2389: 2100 315 49 | 363 25 2076 | 1 2124 339
2393: 8 18 49 | 66 25 2377 | 1 32 42
2399: 529 1896 49 | 1944 25 505 | 1 553 1920
2411: 169 2268 49 | 2316 25 145 | 1 193 2292
2417: 676 1767 49 | 1815 25 652 | 1 700 1791
2423: 1296 1153 49 | 1201 25 1272 | 1 1320 1177
2437: 225 2238 49 | 2286 25 201 | 1 249 2262
2441: 2086 381 49 | 429 25 2062 | 1 2110 405
2447: 169 2304 49 | 2352 25 145 | 1 193 2328
2459: 484 2001 49 | 2049 25 460 | 1 508 2025
2467: 4 22 49 | 70 25 2447 | 1 28 46
2473: 169 2330 49 | 2378 25 145 | 1 193 2354
2477: 1681 822 49 | 870 25 1657 | 1 1705 846
2503: 2116 413 49 | 461 25 2092 | 1 2140 437
2521: 529 2018 49 | 2066 25 505 | 1 553 2042
2531: 36 2521 49 | 38 25 12 | 1 60 14
2539: 400 2165 49 | 2213 25 376 | 1 424 2189
2543: 625 1944 49 | 1992 25 601 | 1 649 1968
2549: 1444 1131 49 | 1179 25 1420 | 1 1468 1155
2551: 1600 977 49 | 1025 25 1576 | 1 1624 1001
2557: 252 2331 49 | 2379 25 228 | 1 276 2355
2579: 841 1764 49 | 1812 25 817 | 1 865 1788
2591: 64 2553 49 | 10 25 40 | 1 88 2577
2593: 841 1778 49 | 1826 25 817 | 1 865 1802
2609: 16 10 49 | 58 25 2601 | 1 40 34
2617: 0 26 49 | 74 25 2593 | 1 24 50
2621: 196 2451 49 | 2499 25 172 | 1 220 2475
2633: 400 2259 49 | 2307 25 376 | 1 424 2283
2647: 361 2312 49 | 2360 25 337 | 1 385 2336
2657: 361 2322 49 | 2370 25 337 | 1 385 2346
2659: 729 1956 49 | 2004 25 705 | 1 753 1980
2663: 961 1728 49 | 1776 25 937 | 1 985 1752
2671: 81 2616 49 | 2664 25 57 | 1 105 2640
2677: 1812 891 49 | 939 25 1788 | 1 1836 915
2683: 16 10 49 | 58 25 2675 | 1 40 34
2687: 729 1984 49 | 2032 25 705 | 1 753 2008
2689: 98 2617 49 | 2665 25 74 | 1 122 2641
2693: 729 1990 49 | 2038 25 705 | 1 753 2014
2699: 36 2689 49 | 38 25 12 | 1 60 14
2707: 4 22 49 | 70 25 2687 | 1 28 46
2711: 225 2512 49 | 2560 25 201 | 1 249 2536
2713: 0 26 49 | 74 25 2689 | 1 24 50
2719: 289 2456 49 | 2504 25 265 | 1 313 2480
2729: 1050 1705 49 | 1753 25 1026 | 1 1074 1729
2731: 100 2657 49 | 2705 25 76 | 1 124 2681
2741: 484 2283 49 | 2331 25 460 | 1 508 2307
2749: 900 1875 49 | 1923 25 876 | 1 924 1899
2753: 676 2103 49 | 2151 25 652 | 1 700 2127
2767: 169 2624 49 | 2672 25 145 | 1 193 2648
2777: 144 2659 49 | 2707 25 120 | 1 168 2683
2789: 1055 1760 49 | 1808 25 1031 | 1 1079 1784
2791: 1024 1793 49 | 1841 25 1000 | 1 1048 1817
2797: 324 2499 49 | 2547 25 300 | 1 348 2523
2801: 1225 1602 49 | 1650 25 1201 | 1 1249 1626
2803: 64 2765 49 | 10 25 40 | 1 88 2789
2819: 568 2277 49 | 2325 25 544 | 1 592 2301
2833: 0 26 49 | 74 25 2809 | 1 24 50
2837: 729 2134 49 | 2182 25 705 | 1 753 2158
2843: 144 2725 49 | 2773 25 120 | 1 168 2749
2851: 1296 1581 49 | 1629 25 1272 | 1 1320 1605
2857: 2327 556 49 | 604 25 2303 | 1 2351 580
2861: 196 2691 49 | 2739 25 172 | 1 220 2715
2879: 961 1944 49 | 1992 25 937 | 1 985 1968
2887: 1369 1544 49 | 1592 25 1345 | 1 1393 1568
